subject	activity	feature	axis	method	mean	count
1	LAYING	tGravityAcc	X	std	-0.8968300184	50
1	LAYING	tGravityAcc	Y	mean	0.70554977346	50
1	LAYING	tGravityAcc	Y	std	-0.90772000676	50
1	LAYING	tGravityAcc	Z	mean	0.4458177198	50
1	LAYING	tGravityAcc	Z	std	-0.85236629022	50
1	LAYING	tGravityAccMag	NA	mean	-0.8419291525	50
1	LAYING	tGravityAccMag	NA	std	-0.79514486386	50
1	SITTING	fBodyAcc	X	mean	-0.979641238723404	47
1	SITTING	fBodyAcc	X	meanFreq	-0.0495135975489362	47
1	SITTING	fBodyAcc	X	std	-0.976412313191489	47
1	SITTING	fBodyAcc	Y	mean	-0.944084550425532	47
1	SITTING	fBodyAcc	Y	meanFreq	0.0759460768510638	47
1	SITTING	fBodyAcc	Y	std	-0.917275006382979	47
1	SITTING	fBodyAcc	Z	mean	-0.959184889148936	47
1	SITTING	fBodyAcc	Z	meanFreq	0.238829870148936	47
1	SITTING	fBodyAcc	Z	std	-0.934469558085106	47
1	SITTING	fBodyAccJerk	X	mean	-0.986597022553191	47
1	SITTING	fBodyAccJerk	X	meanFreq	0.256610823568085	47
1	SITTING	fBodyAccJerk	X	std	-0.987492994468085	47
1	SITTING	fBodyAccJerk	Y	mean	-0.981579467021277	47
1	SITTING	fBodyAccJerk	Y	meanFreq	0.0475437839595745	47
1	SITTING	fBodyAccJerk	Y	std	-0.982513909574468	47
1	SITTING	fBodyAccJerk	Z	mean	-0.986053092340425	47
1	SITTING	fBodyAccJerk	Z	meanFreq	0.0923920032553192	47
1	SITTING	fBodyAccJerk	Z	std	-0.988339184893617	47
1	SITTING	fBodyAccMag	NA	mean	-0.947782922553192	47
1	SITTING	fBodyAccMag	NA	meanFreq	0.236655011680851	47
1	SITTING	fBodyAccMag	NA	std	-0.928444801702128	47
1	SITTING	fBodyBodyAccJerkMag	NA	mean	-0.985262126808511	47
1	SITTING	fBodyBodyAccJerkMag	NA	meanFreq	0.351852201957447	47
1	SITTING	fBodyBodyAccJerkMag	NA	std	-0.981606177446808	47
1	SITTING	fBodyBodyGyroJerkMag	NA	mean	-0.989797547234043	47
1	SITTING	fBodyBodyGyroJerkMag	NA	meanFreq	0.184775928085106	47
1	SITTING	fBodyBodyGyroJerkMag	NA	std	-0.987049617234043	47
1	SITTING	fBodyBodyGyroMag	NA	mean	-0.958435589361702	47
1	SITTING	fBodyBodyGyroMag	NA	meanFreq	-0.000262186717021277	47
1	SITTING	fBodyBodyGyroMag	NA	std	-0.932198374893617	47
1	SITTING	fBodyGyro	X	mean	-0.976161464042553	47
1	SITTING	fBodyGyro	X	meanFreq	0.189153021260851	47
1	SITTING	fBodyGyro	X	std	-0.977904227021277	47
1	SITTING	fBodyGyro	Y	mean	-0.975838585319149	47
1	SITTING	fBodyGyro	Y	meanFreq	0.0631270669787234	47
1	SITTING	fBodyGyro	Y	std	-0.962345042553192	47
1	SITTING	fBodyGyro	Z	mean	-0.951315544468085	47
1	SITTING	fBodyGyro	Z	meanFreq	-0.0297839207446809	47
1	SITTING	fBodyGyro	Z	std	-0.94391784106383	47
1	SITTING	tBodyAcc	X	mean	0.261237565425532	47
1	SITTING	tBodyAcc	X	std	-0.977229008297872	47
1	SITTING	tBodyAcc	Y	mean	-0.00130828765170213	47
1	SITTING	tBodyAcc	Y	std	-0.922618641914894	47
1	SITTING	tBodyAcc	Z	mean	-0.104544182255319	47
1	SITTING	tBodyAcc	Z	std	-0.93958629106383	47
1	SITTING	tBodyAccJerk	X	mean	0.0774825199574468	47
1	SITTING	tBodyAccJerk	X	std	-0.986430711276596	47
1	SITTING	tBodyAccJerk	Y	mean	-0.000619102785106384	47
1	SITTING	tBodyAccJerk	Y	std	-0.981371965319149	47
1	SITTING	tBodyAccJerk	Z	mean	-0.00336779235021277	47
1	SITTING	tBodyAccJerk	Z	std	-0.987910804468085	47
1	SITTING	tBodyAccJerkMag	NA	mean	-0.987364195531915	47
1	SITTING	tBodyAccJerkMag	NA	std	-0.984120024042553	47
1	SITTING	tBodyAccMag	NA	mean	-0.948536786170213	47
1	SITTING	tBodyAccMag	NA	std	-0.927078418723404	47
1	SITTING	tBodyGyro	X	mean	-0.045350056512766	47
1	SITTING	tBodyGyro	X	std	-0.977211283191489	47
1	SITTING	tBodyGyro	Y	mean	-0.0919241549361702	47
1	SITTING	tBodyGyro	Y	std	-0.966473895319149	47
1	SITTING	tBodyGyro	Z	mean	0.0629313811914894	47
1	SITTING	tBodyGyro	Z	std	-0.941425920851064	47
1	SITTING	tBodyGyroJerk	X	mean	-0.0936793807234043	47
1	SITTING	tBodyGyroJerk	X	std	-0.99173159212766	47
1	SITTING	tBodyGyroJerk	Y	mean	-0.0402118124255319	47
1	SITTING	tBodyGyroJerk	Y	std	-0.989518068510638	47
1	SITTING	tBodyGyroJerk	Z	mean	-0.046702627	47
1	SITTING	tBodyGyroJerk	Z	std	-0.987935806382979	47
1	SITTING	tBodyGyroJerkMag	NA	mean	-0.991976341276596	47
1	SITTING	tBodyGyroJerkMag	NA	std	-0.988308728510638	47
1	SITTING	tBodyGyroMag	NA	mean	-0.93089249	47
1	SITTING	tBodyGyroMag	NA	std	-0.934531840425532	47
1	SITTING	tGravityAcc	X	mean	0.831509933404255	47
1	SITTING	tGravityAcc	X	std	-0.968457145744681	47
1	SITTING	tGravityAcc	Y	mean	0.204411592680851	47
1	SITTING	tGravityAcc	Y	std	-0.935517055957447	47
1	SITTING	tGravityAcc	Z	mean	0.332043702765957	47
1	SITTING	tGravityAcc	Z	std	-0.949040933191489	47
1	SITTING	tGravityAccMag	NA	mean	-0.948536786170213	47
1	SITTING	tGravityAccMag	NA	std	-0.927078418723404	47
1	STANDING	fBodyAcc	X	mean	-0.995249932641509	53
1	STANDING	fBodyAcc	X	meanFreq	0.0865153619088679	53
1	STANDING	fBodyAcc	X	std	-0.99602834509434	53
1	STANDING	fBodyAcc	Y	mean	-0.977070847735849	53
1	STANDING	fBodyAcc	Y	meanFreq	0.117478948718868	53
1	STANDING	fBodyAcc	Y	std	-0.972293102075472	53
1	STANDING	fBodyAcc	Z	mean	-0.985297098679245	53
1	STANDING	fBodyAcc	Z	meanFreq	0.244858585792453	53
1	STANDING	fBodyAcc	Z	std	-0.977937259622642	53
1	STANDING	fBodyAccJerk	X	mean	-0.994630797358491	53
1	STANDING	fBodyAccJerk	X	meanFreq	0.314182940150943	53
1	STANDING	fBodyAccJerk	X	std	-0.995073759245283	53
1	STANDING	fBodyAccJerk	Y	mean	-0.985418704528302	53
1	STANDING	fBodyAccJerk	Y	meanFreq	0.0391618954943396	53
1	STANDING	fBodyAccJerk	Y	std	-0.987018226792453	53
1	STANDING	fBodyAccJerk	Z	mean	-0.990752166037736	53
1	STANDING	fBodyAccJerk	Z	meanFreq	0.138581478749057	53
1	STANDING	fBodyAccJerk	Z	std	-0.992349818113208	53
1	STANDING	fBodyAccMag	NA	mean	-0.985356361132075	53
1	STANDING	fBodyAccMag	NA	meanFreq	0.284555290773585	53
1	STANDING	fBodyAccMag	NA	std	-0.982313804716981	53
1	STANDING	fBodyBodyAccJerkMag	NA	mean	-0.99254247754717	53
1	STANDING	fBodyBodyAccJerkMag	NA	meanFreq	0.422220102264151	53
1	STANDING	fBodyBodyAccJerkMag	NA	std	-0.992536003396226	53
1	STANDING	fBodyBodyGyroJerkMag	NA	mean	-0.994815376981132	53
1	STANDING	fBodyBodyGyroJerkMag	NA	meanFreq	0.334498734301887	53
1	STANDING	fBodyBodyGyroJerkMag	NA	std	-0.994671123207547	53
1	STANDING	fBodyBodyGyroMag	NA	mean	-0.984617623396226	53
1	STANDING	fBodyBodyGyroMag	NA	meanFreq	-0.0286057725328302	53
1	STANDING	fBodyBodyGyroMag	NA	std	-0.978466072075472	53
1	STANDING	fBodyGyro	X	mean	-0.986386786037736	53
1	STANDING	fBodyGyro	X	meanFreq	-0.120293020603774	53
1	STANDING	fBodyGyro	X	std	-0.987497128679245	53
1	STANDING	fBodyGyro	Y	mean	-0.988984455849057	53
1	STANDING	fBodyGyro	Y	meanFreq	-0.0447191978169811	53
1	STANDING	fBodyGyro	Y	std	-0.987107727735849	53
1	STANDING	fBodyGyro	Z	mean	-0.980773122830189	53
1	STANDING	fBodyGyro	Z	meanFreq	0.100607635139623	53
1	STANDING	fBodyGyro	Z	std	-0.98234533	53
1	STANDING	tBodyAcc	X	mean	0.278917629056604	53
1	STANDING	tBodyAcc	X	std	-0.995759901509434	53
1	STANDING	tBodyAcc	Y	mean	-0.0161375901037736	53
1	STANDING	tBodyAcc	Y	std	-0.973190056415094	53
1	STANDING	tBodyAcc	Z	mean	-0.110601817735849	53
1	STANDING	tBodyAcc	Z	std	-0.979775876981132	53
1	STANDING	tBodyAccJerk	X	mean	0.0753766542264151	53
1	STANDING	tBodyAccJerk	X	std	-0.994604542264151	53
1	STANDING	tBodyAccJerk	Y	mean	0.00797573092830189	53
1	STANDING	tBodyAccJerk	Y	std	-0.98564873245283	53
1	STANDING	tBodyAccJerk	Z	mean	-0.00368524954709434	53
1	STANDING	tBodyAccJerk	Z	std	-0.992251177358491	53
1	STANDING	tBodyAccJerkMag	NA	mean	-0.992367790566038	53
1	STANDING	tBodyAccJerkMag	NA	std	-0.993096209433962	53
1	STANDING	tBodyAccMag	NA	mean	-0.984278207358491	53
1	STANDING	tBodyAccMag	NA	std	-0.981942928867925	53
1	STANDING	tBodyGyro	X	mean	-0.0239877347979245	53
1	STANDING	tBodyGyro	X	std	-0.987191946603774	53
1	STANDING	tBodyGyro	Y	mean	-0.0593972209811321	53
1	STANDING	tBodyGyro	Y	std	-0.98773444	53
1	STANDING	tBodyGyro	Z	mean	0.074800751	53
1	STANDING	tBodyGyro	Z	std	-0.980645626981132	53
1	STANDING	tBodyGyroJerk	X	mean	-0.0996092129056604	53
1	STANDING	tBodyGyroJerk	X	std	-0.992945106981132	53
1	STANDING	tBodyGyroJerk	Y	mean	-0.0440627877924528	53
1	STANDING	tBodyGyroJerk	Y	std	-0.995137917358491	53
1	STANDING	tBodyGyroJerk	Z	mean	-0.0489505466716981	53
1	STANDING	tBodyGyroJerk	Z	std	-0.992108467169811	53
1	STANDING	tBodyGyroJerkMag	NA	mean	-0.994966790566038	53
1	STANDING	tBodyGyroJerkMag	NA	std	-0.994733238679245	53
1	STANDING	tBodyGyroMag	NA	mean	-0.976493792830189	53
1	STANDING	tBodyGyroMag	NA	std	-0.978690028679245	53
1	STANDING	tGravityAcc	X	mean	0.942952000377358	53
1	STANDING	tGravityAcc	X	std	-0.99376298509434	53
1	STANDING	tGravityAcc	Y	mean	-0.272983832264151	53
1	STANDING	tGravityAcc	Y	std	-0.981225957924528	53
1	STANDING	tGravityAcc	Z	mean	0.0134905823226415	53
1	STANDING	tGravityAcc	Z	std	-0.976324063584906	53
1	STANDING	tGravityAccMag	NA	mean	-0.984278207358491	53
1	STANDING	tGravityAccMag	NA	std	-0.981942928867925	53
1	WALKING	fBodyAcc	X	mean	-0.202794306326316	95
1	WALKING	fBodyAcc	X	meanFreq	-0.207548374494737	95
1	WALKING	fBodyAcc	X	std	-0.319134719578947	95
1	WALKING	fBodyAcc	Y	mean	0.0897127264021053	95
1	WALKING	fBodyAcc	Y	meanFreq	0.113093646103158	95
1	WALKING	fBodyAcc	Y	std	0.056040006846	95
1	WALKING	fBodyAcc	Z	mean	-0.331560117789474	95
1	WALKING	fBodyAcc	Z	meanFreq	0.0497265196172632	95
1	WALKING	fBodyAcc	Z	std	-0.279686751494737	95
1	WALKING	fBodyAccJerk	X	mean	-0.170546964549579	95
1	WALKING	fBodyAccJerk	X	meanFreq	-0.209261973376842	95
1	WALKING	fBodyAccJerk	X	std	-0.133586606326316	95
1	WALKING	fBodyAccJerk	Y	mean	-0.0352255241130632	95
1	WALKING	fBodyAccJerk	Y	meanFreq	-0.386237143210526	95
1	WALKING	fBodyAccJerk	Y	std	0.106739857136	95
1	WALKING	fBodyAccJerk	Z	mean	-0.468999224631579	95
1	WALKING	fBodyAccJerk	Z	meanFreq	-0.185530281244211	95
1	WALKING	fBodyAccJerk	Z	std	-0.534713440421053	95
1	WALKING	fBodyAccMag	NA	mean	-0.128623450629474	95
1	WALKING	fBodyAccMag	NA	meanFreq	0.1906437244	95
1	WALKING	fBodyAccMag	NA	std	-0.398032586842105	95
1	WALKING	fBodyBodyAccJerkMag	NA	mean	-0.0571194000343158	95
1	WALKING	fBodyBodyAccJerkMag	NA	meanFreq	0.0938221807027368	95
1	WALKING	fBodyBodyAccJerkMag	NA	std	-0.103492403002105	95
1	WALKING	fBodyBodyGyroJerkMag	NA	mean	-0.319308593778947	95
1	WALKING	fBodyBodyGyroJerkMag	NA	meanFreq	0.190663448793684	95
1	WALKING	fBodyBodyGyroJerkMag	NA	std	-0.381601911789474	95
1	WALKING	fBodyBodyGyroMag	NA	mean	-0.199252568986316	95
1	WALKING	fBodyBodyGyroMag	NA	meanFreq	0.268844367525895	95
1	WALKING	fBodyBodyGyroMag	NA	std	-0.321017953894737	95
1	WALKING	fBodyGyro	X	mean	-0.339032197115789	95
1	WALKING	fBodyGyro	X	meanFreq	0.0147844986621053	95
1	WALKING	fBodyGyro	X	std	-0.516691938736842	95
1	WALKING	fBodyGyro	Y	mean	-0.103059416434737	95
1	WALKING	fBodyGyro	Y	meanFreq	-0.0657746190010526	95
1	WALKING	fBodyGyro	Y	std	-0.0335081597884211	95
1	WALKING	fBodyGyro	Z	mean	-0.255940940315789	95
1	WALKING	fBodyGyro	Z	meanFreq	0.00077332156431579	95
1	WALKING	fBodyGyro	Z	std	-0.436562227473684	95
1	WALKING	tBodyAcc	X	mean	0.277330758736842	95
1	WALKING	tBodyAcc	X	std	-0.283740258842105	95
1	WALKING	tBodyAcc	Y	mean	-0.0173838185273684	95
1	WALKING	tBodyAcc	Y	std	0.114461336747368	95
1	WALKING	tBodyAcc	Z	mean	-0.111148103547368	95
1	WALKING	tBodyAcc	Z	std	-0.260027902210526	95
1	WALKING	tBodyAccJerk	X	mean	0.0740416333157895	95
1	WALKING	tBodyAccJerk	X	std	-0.113615602435789	95
1	WALKING	tBodyAccJerk	Y	mean	0.0282721095884211	95
1	WALKING	tBodyAccJerk	Y	std	0.0670025007684211	95
1	WALKING	tBodyAccJerk	Z	mean	-0.00416840617789474	95
1	WALKING	tBodyAccJerk	Z	std	-0.502699788526316	95
1	WALKING	tBodyAccJerkMag	NA	mean	-0.141428809031579	95
1	WALKING	tBodyAccJerkMag	NA	std	-0.0744717500625263	95
1	WALKING	tBodyAccMag	NA	mean	-0.136971176556842	95
1	WALKING	tBodyAccMag	NA	std	-0.219688645631579	95
1	WALKING	tBodyGyro	X	mean	-0.041830963526	95
1	WALKING	tBodyGyro	X	std	-0.473535485894737	95
1	WALKING	tBodyGyro	Y	mean	-0.0695300462115789	95
1	WALKING	tBodyGyro	Y	std	-0.0546077686594737	95
1	WALKING	tBodyGyro	Z	mean	0.0849448173042105	95
1	WALKING	tBodyGyro	Z	std	-0.344266629473684	95
1	WALKING	tBodyGyroJerk	X	mean	-0.0899975423705263	95
1	WALKING	tBodyGyroJerk	X	std	-0.207421854757895	95
1	WALKING	tBodyGyroJerk	Y	mean	-0.0398428709463158	95
1	WALKING	tBodyGyroJerk	Y	std	-0.304468510631579	95
1	WALKING	tBodyGyroJerk	Z	mean	-0.0461309295021053	95
1	WALKING	tBodyGyroJerk	Z	std	-0.404255452631579	95
1	WALKING	tBodyGyroJerkMag	NA	mean	-0.298703679084211	95
1	WALKING	tBodyGyroJerkMag	NA	std	-0.325324878894737	95
1	WALKING	tBodyGyroMag	NA	mean	-0.160979552536842	95
1	WALKING	tBodyGyroMag	NA	std	-0.186978364526316	95
1	WALKING	tGravityAcc	X	mean	0.935223201473684	95
1	WALKING	tGravityAcc	X	std	-0.976609642526316	95
1	WALKING	tGravityAcc	Y	mean	-0.282165021263158	95
1	WALKING	tGravityAcc	Y	std	-0.971305961473684	95
1	WALKING	tGravityAcc	Z	mean	-0.068102864	95
1	WALKING	tGravityAcc	Z	std	-0.947717226105263	95
1	WALKING	tGravityAccMag	NA	mean	-0.136971176556842	95
1	WALKING	tGravityAccMag	NA	std	-0.219688645631579	95
1	WALKING_DOWNSTAIRS	fBodyAcc	X	mean	0.0382291831510204	49
1	WALKING_DOWNSTAIRS	fBodyAcc	X	meanFreq	-0.307395198687755	49
1	WALKING_DOWNSTAIRS	fBodyAcc	X	std	0.0243308391387755	49
1	WALKING_DOWNSTAIRS	fBodyAcc	Y	mean	0.00154990783591837	49
1	WALKING_DOWNSTAIRS	fBodyAcc	Y	meanFreq	0.0632200839346939	49
1	WALKING_DOWNSTAIRS	fBodyAcc	Y	std	-0.112963739953061	49
1	WALKING_DOWNSTAIRS	fBodyAcc	Z	mean	-0.225574471693878	49
1	WALKING_DOWNSTAIRS	fBodyAcc	Z	meanFreq	0.294322700810612	49
1	WALKING_DOWNSTAIRS	fBodyAcc	Z	std	-0.297927894693878	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	X	mean	-0.0276638676122449	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	X	meanFreq	-0.253164344918367	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	X	std	-0.0863278966402041	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	Y	mean	-0.12866715764898	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	Y	meanFreq	-0.33758970122449	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	Y	std	-0.134580008877551	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	Z	mean	-0.288334735714286	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	Z	meanFreq	0.00937223889183673	49
1	WALKING_DOWNSTAIRS	fBodyAccJerk	Z	std	-0.401721464285714	49
1	WALKING_DOWNSTAIRS	fBodyAccMag	NA	mean	0.0965845343040816	49
1	WALKING_DOWNSTAIRS	fBodyAccMag	NA	meanFreq	0.119187142767959	49
1	WALKING_DOWNSTAIRS	fBodyAccMag	NA	std	-0.186530301073469	49
1	WALKING_DOWNSTAIRS	fBodyBodyAccJerkMag	NA	mean	0.0262184949326531	49
1	WALKING_DOWNSTAIRS	fBodyBodyAccJerkMag	NA	meanFreq	0.0764915474326531	49
1	WALKING_DOWNSTAIRS	fBodyBodyAccJerkMag	NA	std	-0.104052260726531	49
1	WALKING_DOWNSTAIRS	fBodyBodyGyroJerkMag	NA	mean	-0.281963359177551	49
1	WALKING_DOWNSTAIRS	fBodyBodyGyroJerkMag	NA	meanFreq	0.190000706165102	49
1	WALKING_DOWNSTAIRS	fBodyBodyGyroJerkMag	NA	std	-0.391919876612245	49
1	WALKING_DOWNSTAIRS	fBodyBodyGyroMag	NA	mean	-0.185720285744898	49
1	WALKING_DOWNSTAIRS	fBodyBodyGyroMag	NA	meanFreq	0.349613895469388	49
1	WALKING_DOWNSTAIRS	fBodyBodyGyroMag	NA	std	-0.398350390122449	49
1	WALKING_DOWNSTAIRS	fBodyGyro	X	mean	-0.352449631363265	49
1	WALKING_DOWNSTAIRS	fBodyGyro	X	meanFreq	-0.100453729040816	49
1	WALKING_DOWNSTAIRS	fBodyGyro	X	std	-0.495422486102041	49
1	WALKING_DOWNSTAIRS	fBodyGyro	Y	mean	-0.0557022524693878	49
1	WALKING_DOWNSTAIRS	fBodyGyro	Y	meanFreq	0.0825511487183673	49
1	WALKING_DOWNSTAIRS	fBodyGyro	Y	std	-0.181414728657143	49
1	WALKING_DOWNSTAIRS	fBodyGyro	Z	mean	-0.0318694271979592	49
1	WALKING_DOWNSTAIRS	fBodyGyro	Z	meanFreq	-0.0756762067714286	49
1	WALKING_DOWNSTAIRS	fBodyGyro	Z	std	-0.238443565306122	49
1	WALKING_DOWNSTAIRS	tBodyAcc	X	mean	0.289188320408163	49
1	WALKING_DOWNSTAIRS	tBodyAcc	X	std	0.0300353383483878	49
1	WALKING_DOWNSTAIRS	tBodyAcc	Y	mean	-0.00991850461020408	49
1	WALKING_DOWNSTAIRS	tBodyAcc	Y	std	-0.0319359434489796	49
1	WALKING_DOWNSTAIRS	tBodyAcc	Z	mean	-0.107566190908163	49
1	WALKING_DOWNSTAIRS	tBodyAcc	Z	std	-0.230434213204082	49
1	WALKING_DOWNSTAIRS	tBodyAccJerk	X	mean	0.0541553164897959	49
1	WALKING_DOWNSTAIRS	tBodyAccJerk	X	std	-0.012283860544898	49
1	WALKING_DOWNSTAIRS	tBodyAccJerk	Y	mean	0.0296504490408163	49
1	WALKING_DOWNSTAIRS	tBodyAccJerk	Y	std	-0.101601390640816	49
1	WALKING_DOWNSTAIRS	tBodyAccJerk	Z	mean	-0.0109719730183673	49
1	WALKING_DOWNSTAIRS	tBodyAccJerk	Z	std	-0.345735032326531	49
1	WALKING_DOWNSTAIRS	tBodyAccJerkMag	NA	mean	-0.0894474807979592	49
1	WALKING_DOWNSTAIRS	tBodyAccJerkMag	NA	std	-0.0257877197081633	49
1	WALKING_DOWNSTAIRS	tBodyAccMag	NA	mean	0.0271882914106122	49
1	WALKING_DOWNSTAIRS	tBodyAccMag	NA	std	0.0198843506265306	49
1	WALKING_DOWNSTAIRS	tBodyGyro	X	mean	-0.0350781902989796	49
1	WALKING_DOWNSTAIRS	tBodyGyro	X	std	-0.458030542938775	49
1	WALKING_DOWNSTAIRS	tBodyGyro	Y	mean	-0.0909371290204082	49
1	WALKING_DOWNSTAIRS	tBodyGyro	Y	std	-0.126349194938775	49
1	WALKING_DOWNSTAIRS	tBodyGyro	Z	mean	0.0900850142030612	49
1	WALKING_DOWNSTAIRS	tBodyGyro	Z	std	-0.124702454242857	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerk	X	mean	-0.0739592036271429	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerk	X	std	-0.487027342244898	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerk	Y	mean	-0.0439902783367347	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerk	Y	std	-0.238824827530612	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerk	Z	mean	-0.0270461061061224	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerk	Z	std	-0.268761480242857	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerkMag	NA	mean	-0.295463843346939	49
1	WALKING_DOWNSTAIRS	tBodyGyroJerkMag	NA	std	-0.306510645530612	49
1	WALKING_DOWNSTAIRS	tBodyGyroMag	NA	mean	-0.0757412543673469	49
1	WALKING_DOWNSTAIRS	tBodyGyroMag	NA	std	-0.225724368061224	49
1	WALKING_DOWNSTAIRS	tGravityAcc	X	mean	0.931874418979592	49
1	WALKING_DOWNSTAIRS	tGravityAcc	X	std	-0.950559811632653	49
1	WALKING_DOWNSTAIRS	tGravityAcc	Y	mean	-0.266610338979592	49
1	WALKING_DOWNSTAIRS	tGravityAcc	Y	std	-0.937018658979592	49
1	WALKING_DOWNSTAIRS	tGravityAcc	Z	mean	-0.0621199585938775	49
1	WALKING_DOWNSTAIRS	tGravityAcc	Z	std	-0.895939695102041	49
